,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
83,50.0,0.9,9.0,2.0,adam,relu,0.0015281926506500918,30.0,False,1.0,2.0,0.3,0.0,0.8117730021476746,0.5464273691177368,2021-07-13_10-47-36
84,50.0,0.1,3.0,3.0,sgd,elu,9.963083088593428e-05,30.0,True,0.0,2.0,0.3,0.6,0.6614513635635376,0.6025579333305359,2021-07-12_16-38-37
85,50.0,0.2,3.0,3.0,sgd,relu,0.00013497532016293128,50.0,False,1.0,1.0,0.35,0.6,0.6923153638839722,0.5175938367843628,2021-07-13_09-15-54
86,50.0,0.1,7.0,2.0,adam,relu,0.0007711233903607017,30.0,False,1.0,2.0,0.4,0.0,0.22826744616031647,0.9285357058048248,2021-07-13_12-05-25
87,100.0,0.7,3.0,2.0,adam,relu,1.4507029555883777e-05,20.0,False,1.0,1.0,0.6,0.6,0.6935237646102905,0.5094180554151535,2021-07-13_08-05-15
88,100.0,0.1,3.0,2.0,sgd,relu,8.627017103509708e-05,50.0,False,1.0,1.0,0.45,0.6,0.6927818715572357,0.513289389014244,2021-07-13_08-56-35
89,50.0,0.2,7.0,2.0,adam,relu,0.0004727750025877757,30.0,False,1.0,2.0,0.4,0.0,0.587844631075859,0.8609478712081909,2021-07-13_13-05-36
90,50.0,0.1,3.0,2.0,adam,relu,1.589221645089171e-05,30.0,False,1.0,1.0,0.4,0.6,0.38267260491847993,0.82278470993042,2021-07-13_07-17-56
91,50.0,0.2,9.0,2.0,adam,elu,6.917007142641057e-05,40.0,False,0.0,2.0,0.6,0.0,0.43626944720745087,0.7994378447532654,2021-07-13_17-18-20
92,50.0,1.0,3.0,3.0,adam,relu,2.2875029344895895e-05,40.0,False,1.0,2.0,0.65,0.0,0.6735519945621491,0.5841392815113068,2021-07-13_09-12-09
93,50.0,0.4,9.0,2.0,adam,elu,0.00031505460864609977,50.0,False,0.0,2.0,0.55,0.0,0.8108652412891388,0.6059441924095154,2021-07-13_18-17-45
94,50.0,0.4,3.0,3.0,adam,elu,0.000531538217341437,50.0,True,1.0,2.0,0.65,0.6,0.6576679944992065,0.6112343907356262,2021-07-12_19-12-46
95,50.0,0.1,5.0,2.0,adam,relu,5.139629682328142e-05,50.0,True,0.0,1.0,0.7,0.0,0.2872421145439148,0.8735539078712463,2021-07-12_20-50-43
96,50.0,0.8,9.0,2.0,adam,elu,1.022338854272513e-05,40.0,False,1.0,1.0,0.45,0.0,0.6834480881690979,0.5589069128036499,2021-07-12_15-58-40
97,100.0,0.1,5.0,2.0,adam,relu,4.017848442223416e-05,50.0,True,0.0,1.0,0.7,0.0,0.3850865960121155,0.8224751651287079,2021-07-12_21-34-44
98,100.0,0.5,3.0,2.0,sgd,relu,0.0014695041324046484,50.0,True,1.0,1.0,0.5,0.6,0.7160025417804718,0.5959134757518768,2021-07-12_20-23-40
99,100.0,0.1,7.0,2.0,adam,relu,0.008365828316469379,20.0,False,1.0,2.0,0.45,0.0,0.6933631777763367,0.4960095971822739,2021-07-13_10-49-03
100,50.0,0.3,7.0,2.0,adam,relu,0.0003900436742680831,20.0,False,1.0,2.0,0.4,0.0,0.7337515413761139,0.7359879434108734,2021-07-13_11-43-50
101,50.0,0.1,9.0,2.0,adam,relu,0.00021042159383654027,40.0,False,1.0,2.0,0.55,0.0,0.13526420146226883,0.9579522967338562,2021-07-13_14-59-49
102,50.0,0.3,7.0,3.0,adam,relu,4.7530790844958735e-05,50.0,False,1.0,1.0,0.75,0.6,0.5099817097187043,0.739559781551361,2021-07-13_04-29-49
103,50.0,0.4,7.0,2.0,adam,relu,0.0002455764401296389,10.0,False,1.0,2.0,0.3,0.0,0.635728794336319,0.6391395807266236,2021-07-13_11-51-09
